name	name_scientific	ncbi_taxonomy_id
Angelica	Angelica keiskei	357850
Savoy cabbage	Brassica oleracea var. sabauda	1216010
Kiwi	Actinidia chinensis	3625
Allium	Allium	4678
Garden onion	Allium cepa	4679
Garlic	Allium sativum	4682
Chives	Allium schoenoprasum	74900
Lemon verbena	Aloysia triphylla	542672
Cashew nut	Anacardium occidentale	171929
Pineapple	Ananas comosus	4615
Dill	Anethum graveolens	40922
Custard apple	Annona reticulata	301862
Wild celery	Apium graveolens	4045
Peanut	Arachis hypogaea	3818
Burdock	Arctium lappa	4217
Horseradish	Armoracia rusticana	3704
Tarragon	Artemisia dracunculus	72341
Mugwort	Artemisia vulgaris	4220
Asparagus	Asparagus officinalis	4686
Oat	Avena sativa	4498
Star fruit	Averrhoa carambola	28974
Brazil nut	Bertholletia excelsa	3645
Common beet	Beta vulgaris	161934
Borage	Borago officinalis	13363
Chinese mustard	Brassica juncea	3707
Swede	Brassica napus	3708
Rape	Brassica napus var. napus	138011
Common cabbage	Brassica oleracea	3712
Cauliflower	Brassica oleracea var. botrytis	3715
Brussel sprouts	Brassica oleracea var. gemmifera	178616
Kohlrabi	Brassica oleracea var. gongylodes	109379
Broccoli	Brassica oleracea var. italica	36774
Chinese cabbage	Brassica rapa	3711
Turnip	Brassica rapa var. rapa	51350
Pigeon pea	Cajanus cajan	3821
Tea	Camellia sinensis	4442
Capers	Capparis spinosa	65558
Pepper	Capsicum annuum	4072
Papaya	Carica papaya	3649
Safflower	Carthamus tinctorius	4222
Caraway	Carum carvi	48032
Pecan nut	Carya illinoinensis	32201
Chestnut	Castanea	21019
Roman camomile	Chamaemelum nobile	99037
Chickpea	Cicer arietinum	3827
Endive	Cichorium endivia	114280
Chicory	Cichorium intybus	13427
Chinese cinnamon	Cinnamomum aromaticum	119260
Ceylon cinnamon	Cinnamomum verum	128608
Watermelon	Citrullus lanatus	3654
Lime	Citrus aurantiifolia	159033
Lemon	Citrus limon	2708
Pummelo	Citrus maxima	37334
Mandarin orange (Clementine, Tangerine)	Citrus reticulata	85571
Sweet orange	Citrus sinensis	2711
Coffee	Coffea	13442
Arabica coffee	Coffea arabica	13443
Robusta coffee	Coffea canephora	49390
Coriander	Coriandrum sativum	4047
Common hazelnut	Corylus avellana	13451
Saffron	Crocus sativus	82528
Muskmelon	Cucumis melo	3656
Cucumber	Cucumis sativus	3659
Cucurbita	Cucurbita	3660
Cumin	Cuminum cyminum	52462
Turmeric	Curcuma longa	136217
Quince	Cydonia oblonga	36610
Lemon grass	Cymbopogon citratus	66014
Globe artichoke	Cynara scolymus	59895
Wild carrot	Daucus carota	4039
Japanese persimmon	Diospyros kaki	35925
Cardamom	Elettaria cardamomum	105181
Black crowberry	Empetrum nigrum	191066
Loquat	Eriobotrya japonica	32224
Rocket salad (ssp.)	Eruca vesicaria ssp. sativa	29727
Wax apple	Eugenia javanica	119950
Common buckwheat	Fagopyrum esculentum	3617
Tartary buckwheat	Fagopyrum tataricum	62330
Fig	Ficus carica	3494
Fennel	Foeniculum vulgare	48038
Strawberry	Fragaria X ananassa	3747
Black huckleberry	Gaylussacia baccata	128893
Soy bean	Glycine max	3847
Sunflower	Helianthus annuus	4232
Sea-buckthornberry	Hippophae rhamnoides	193516
Barley	Hordeum vulgare	4513
Hyssop	Hyssopus officinalis	39324
Star anise	Illicium verum	124778
Swamp cabbage	Ipomoea aquatica	89636
Sweet potato	Ipomoea batatas	4120
Black walnut	Juglans nigra	16719
Common walnut	Juglans regia	51240
Lettuce	Lactuca sativa	4236
Grass pea	Lathyrus sativus	3860
Sweet bay	Laurus nobilis	85223
Lentils	Lens culinaris	3864
Garden cress	Lepidium sativum	33125
Lovage	Levisticum officinale	48042
Flaxseed	Linum usitatissimum	4006
Lichee	Litchi chinensis	151069
Lupine	Lupinus	3869
Apple	Malus pumila	283210
Mango	Mangifera indica	29780
German camomile	Matricaria recutita	127986
Lemon balm	Melissa officinalis	39338
Mentha	Mentha	21819
Orange mint	Mentha aquatica	190902
Cornmint	Mentha arvensis	292239
Spearmint	Mentha spicata	29719
Peppermint	Mentha X piperita	34256
Medlar	Mespilus germanica	36616
Bitter gourd	Momordica charantia	3673
Mulberry	Morus	3497
Black mulberry	Morus nigra	85232
Nutmeg	Myristica fragrans	51089
Sweet basil	Ocimum basilicum	39350
Evening primrose	Oenothera biennis	3942
Olive	Olea europaea	4146
Sweet marjoram	Origanum majorana	268884
Pot marjoram	Origanum onites	452416
Common oregano	Origanum vulgare	39352
Rice	Oryza sativa	4530
Millet	Panicum miliaceum	4540
Poppy	Papaver	3468
Passion fruit	Passiflora edulis	78168
Parsnip	Pastinaca sativa	4041
Avocado	Persea americana	3435
Parsley	Petroselinum crispum	4043
Scarlet bean	Phaseolus coccineus	3886
Lima bean	Phaseolus lunatus	3884
Common bean	Phaseolus vulgaris	3885
Date	Phoenix dactylifera	42345
Black chokeberry	Photinia melanocarpa	661339
Anise	Pimpinella anisum	271192
Pine nut	Pinus	3337
Pepper (Spice)	Piper nigrum	13216
Pistachio	Pistacia vera	55513
Common pea	Pisum sativum	3888
Purslane	Portulaca oleracea	46147
Prunus (Cherry, Plum)	Prunus	3754
Apricot	Prunus armeniaca	36596
Sweet cherry	Prunus avium	42229
Sour cherry	Prunus cerasus	140311
European plum	Prunus domestica	3758
Almond	Prunus dulcis	3755
Peach	Prunus persica	3760
Guava	Psidium guajava	120290
Pomegranate	Punica granatum	22663
Pear	Pyrus communis	23211
Radish	Raphanus sativus	3726
Garden rhubarb	Rheum rhabarbarum	3621
Blackcurrant	Ribes nigrum	78511
Redcurrant	Ribes rubrum	175228
Gooseberry	Ribes uva-crispa	135518
Watercress	Rorippa nasturtium-aquaticum	135518
Rosemary	Rosmarinus officinalis	39367
Rubus (Blackberry, Raspberry)	Rubus	23216
Cloudberry	Rubus chamaemorus	57936
Red raspberry	Rubus idaeus	32247
Black raspberry	Rubus occidentalis	75079
Sorrel	Rumex acetosa	41241
Common sage	Salvia officinalis	38868
Black elderberry	Sambucus nigra	4202
Summer savory	Satureja hortensis	49987
Winter savory	Satureja montana	49988
Rye	Secale cereale	4550
Sesame	Sesamum orientale	4182
Garden tomato	Solanum lycopersicum	4081
Cherry tomato	Solanum lycopersicum var. cerasiforme	195583
Garden tomato (var.)	Solanum lycopersicum var. lycopersicum	397755
Eggplant	Solanum melongena	4111
Potato	Solanum tuberosum	4113
Rowanberry	Sorbus aucuparia	36599
Sorghum	Sorghum bicolor	4558
Spinach	Spinacia oleracea	3562
Cloves	Syzygium aromaticum	219868
Tamarind	Tamarindus indica	58860
Dandelion	Taraxacum officinale	50225
Cocoa bean	Theobroma cacao	3641
Common thyme	Thymus vulgaris	49992
Linden	Tilia	64580
Small-leaf linden	Tilia cordata	172266
Fenugreek	Trigonella foenum-graecum	78534
Common wheat	Triticum aestivum	4565
Vaccinium (Blueberry, Cranberry, Huckleberry)	Vaccinium	13749
Lowbush blueberry	Vaccinium angustifolium	472369
Sparkleberry	Vaccinium arboreum	229201
Highbush blueberry	Vaccinium corymbosum	69266
