food_part	food_part_synonyms
anther	anthers
aril	arils
bark	barks
berry	berries
blossom	blossoms
bran	brans
branch	branches
bud	buds
bulb	bulbs
calyx	calyces, calyxes
caryopsis	caryopses
cob	cobs
cotyledon	cotyledons
dendrite	dendrites
embryo	embryos
endosperm	endosperms
epidermis	epidermises
exocarp	exocarps
exudate	exudates
flesh	fleshes
floret	florets
flower	flowers
foliage	foliages
frond	fronds
fruit	fruits
grain	grains
grass	grasses
gum	gums
heartwood	heartwoods
hull	hulls
husk	husks
hypocotyl	hypocotyls
inflorescence	inflorescences
juice	juices
leaf	leaves
mulch	mulches
mycelium	myceliums
nectar	nectars
needle	needles
nodule	nodules
pericarp	pericarps
petal	petals
petiole	petioles
pith	piths
pod	pods, seedpod, seedpods
pollen	pollens
resin	resins
rhizome	rhizomes
root	roots
sap	saps
sapling	saplings
seed	seeds
seedling	seedlings
shoot	shoots
skin	skins
spore	spores
sprout	sprouts
stalk	stalks
stamen	stamens
stem	stems
style	styles
testa	testae, testas
thallus	thalli, thalluses
tissue	tissues
trunk	trunks
tuber	tubers
twig	twigs
vine	vines
wax	waxes
wood	woods
