foodatlas_id	closeness_centrality	name	type
e1555	0.11382167613963061	Organic Chemicals	chemical
e1022	0.08389571538642561	Flavonoids	chemical
e217	0.07242731539553263	Hydrocarbons	chemical
e1007	0.06990336016674531	Carbohydrates	chemical
e1388	0.06414364116013607	Chromones	chemical
e1465	0.06172498578976288	Heterocyclic Compounds	chemical
e1349	0.06118673154672166	Benzopyrans	chemical
e1467	0.06029005760898047	Heterocyclic Compounds, 2-Ring	chemical
e1466	0.05818892809001231	Heterocyclic Compounds, 1-Ring	chemical
e1471	0.05597129682418733	Heterocyclic Compounds, Fused-Ring	chemical
e1347	0.05538471742700223	Benzene Derivatives	chemical
e1499	0.054681318750117926	Inorganic Chemicals	chemical
e1042	0.054353058987581575	Phenols	chemical
e1481	0.05427322571763807	Hydrocarbons, Cyclic	chemical
e1061	0.053492009596277264	Terpenes	chemical
e1614	0.05231788647624633	Pyrans	chemical
e1478	0.05224553754796269	Hydrocarbons, Aromatic	chemical
e1373	0.04803200496222725	Carboxylic Acids	chemical
e1031	0.04611788867574472	Lipids	chemical
e1426	0.04269953761137917	Elements	chemical
e1026	0.04145580141110413	Glycosides	chemical
e1487	0.03997669512053452	Hydroxybenzoates	chemical
e1303	0.03979900977170532	Acids, Carbocyclic	chemical
e1485	0.038312812589249935	Hydroxy Acids	chemical
e1361	0.03566490093096127	Biological Factors	chemical
e178	0.03557035745894267	Benzoates	chemical
e980	0.035484270556008606	phenolic acid	chemical
e1085	0.03272122962526795	Flavones	chemical
e1091	0.032646774109482773	Polyphenols	chemical
e1586	0.03222505490183728	Pigments, Biological	chemical
e1527	0.029535157642202832	Metals	chemical
e1595	0.028047479887943698	Polycyclic Compounds	chemical
e1324	0.02785618817960681	Amino Acids, Peptides, and Proteins	chemical
e1020	0.02739281204820122	Fatty Acids	chemical
e1530	0.026681040707735394	Metals, Heavy	chemical
e1476	0.025385288467241113	Hydrocarbons, Acyclic	chemical
e1666	0.024912332338460658	Transition Elements	chemical
e1364	0.024143147763084575	Biopolymers	chemical
e1314	0.02292517113118495	Alkenes	chemical
e1081	0.022891722154210585	Flavonols	chemical
e1008	0.02198032812745379	Carotenoids	chemical
e1400	0.021548819816993192	Cycloparaffins	chemical
e1003	0.021459772450223485	Anthocyanins	chemical
e1078	0.021271165661271896	Monoterpenes	chemical
