Id	Label	Type
5-Hydroxytryptophan	5-Hydroxytryptophan	chemical
5-hydroxy-L-tryptophan	5-hydroxy-L-tryptophan	chemical
Oxytryptophan	Oxytryptophan	chemical
Docosahexaenoic acid	Docosahexaenoic acid	chemical
Docosa-2,4,6,8,10,12-hexaenoic acid	Docosa-2,4,6,8,10,12-hexaenoic acid	chemical
(-)-Epigallocatechin gallate	(-)-Epigallocatechin gallate	chemical
Eicosapentaenoic acid	Eicosapentaenoic acid	chemical
Eicosa-5,8,11,14,17-pentaenoic acid	Eicosa-5,8,11,14,17-pentaenoic acid	chemical
5,8,11,14,17-Eicosapentaenoic acid	5,8,11,14,17-Eicosapentaenoic acid	chemical
gamma-Aminobutyric acid	gamma-Aminobutyric acid	chemical
L-2-Aminopentanedioic Acid Sodium Salt	L-2-Aminopentanedioic Acid Sodium Salt	chemical
D-glutamate(1-)	D-glutamate(1-)	chemical
L-glutamate(1-)	L-glutamate(1-)	chemical
L-glutamate(2-)	L-glutamate(2-)	chemical
Monopotassium glutamate	Monopotassium glutamate	chemical
Monopotassium L-glutamate	Monopotassium L-glutamate	chemical
Potassium L-glutamate	Potassium L-glutamate	chemical
Potassium glutamate	Potassium glutamate	chemical
DL-Glutamic acid	DL-Glutamic acid	chemical
D-glutamic acid	D-glutamic acid	chemical
Glutamic Acid	Glutamic Acid	chemical
L-Glutamic acid, ion(1-)	L-Glutamic acid, ion(1-)	chemical
Aluminum l-glutamate	Aluminum l-glutamate	chemical
bis[(5R)-5-amino-4,8-dioxo-1,3,2-dioxalumocan-2-yl] (2S)-2-aminopentanedioate	bis[(5R)-5-amino-4,8-dioxo-1,3,2-dioxalumocan-2-yl] (2S)-2-aminopentanedioate	chemical
Glutamate	Glutamate	chemical
Glutamate(2-)	Glutamate(2-)	chemical
L-glutamate	L-glutamate	chemical
Hydrogen	Hydrogen	chemical
L-(+)-Arabinose	L-(+)-Arabinose	chemical
L-Arabinose	L-Arabinose	chemical
Proline	Proline	chemical
Malate	Malate	chemical
Sodium malate	Sodium malate	chemical
Malic acid	Malic acid	chemical
Nickel	Nickel	chemical
Oleic Acid	Oleic Acid	chemical
Oleate	Oleate	chemical
9-Octadecenoic acid	9-Octadecenoic acid	chemical
Lead	Lead	chemical
Pyrogallol	Pyrogallol	chemical
Silicon	Silicon	chemical
Silicon-28	Silicon-28	chemical
Strontium	Strontium	chemical
Zinc	Zinc	chemical
Acetaldehyde	Acetaldehyde	chemical
DL-Alanine	DL-Alanine	chemical
Alanine	Alanine	chemical
(2S)-2-azaniumylpropanoate	(2S)-2-azaniumylpropanoate	chemical
Alcohols	Alcohols	chemical
Aldehydes	Aldehydes	chemical
Alkaloids	Alkaloids	chemical
Benzene	Benzene	chemical
Linolenic Acid	Linolenic Acid	chemical
(-)-alpha-Pinene	(-)-alpha-Pinene	chemical
alpha-Pinene	alpha-Pinene	chemical
Tocopherol calcium succinate	Tocopherol calcium succinate	chemical
Vitamin e succinate	Vitamin e succinate	chemical
DL-alpha-Tocopherol acetate	DL-alpha-Tocopherol acetate	chemical
alpha-Tocopherol acetate	alpha-Tocopherol acetate	chemical
Tocopheryl acetate	Tocopheryl acetate	chemical
Amides	Amides	chemical
Amines	Amines	chemical
1,2-Anthraquinone	1,2-Anthraquinone	chemical
Anthraquinone	Anthraquinone	chemical
Anthraquinone Derivative	Anthraquinone Derivative	chemical
Arsenic	Arsenic	chemical
Benzaldehyde	Benzaldehyde	chemical
Benzaldehydes	Benzaldehydes	chemical
Beta-Carotene	Beta-Carotene	chemical
beta-Carotene beta,beta-Carotene Carotene Solatene trans-beta-Carotene	beta-Carotene beta,beta-Carotene Carotene Solatene trans-beta-Carotene	chemical
Isocaryophyllene	Isocaryophyllene	chemical
Caryophyllene	Caryophyllene	chemical
