Id	Label	Type
e0	e0	chemical
e1	e1	chemical
e2	e2	chemical
e3	e3	chemical
e4	e4	chemical
e5	e5	chemical
e6	e6	chemical
e7	e7	chemical
e8	e8	chemical
e9	e9	chemical
e10	e10	chemical
e11	e11	chemical
e12	e12	chemical
e13	e13	chemical
e14	e14	chemical
e15	e15	chemical
e16	e16	chemical
e17	e17	chemical
e18	e18	chemical
e19	e19	chemical
e20	e20	chemical
e21	e21	chemical
e22	e22	chemical
e23	e23	chemical
e24	e24	chemical
e25	e25	chemical
e26	e26	chemical
e27	e27	chemical
e28	e28	chemical
e29	e29	chemical
e30	e30	chemical
e31	e31	chemical
e32	e32	chemical
e33	e33	chemical
e34	e34	chemical
e35	e35	chemical
e36	e36	chemical
e37	e37	chemical
e38	e38	chemical
e39	e39	chemical
e40	e40	chemical
e41	e41	chemical
e42	e42	chemical
e43	e43	chemical
e44	e44	chemical
e45	e45	chemical
e46	e46	chemical
e47	e47	chemical
e48	e48	chemical
e49	e49	chemical
e50	e50	chemical
e51	e51	chemical
e52	e52	chemical
e53	e53	chemical
e54	e54	chemical
e55	e55	chemical
e56	e56	chemical
e57	e57	chemical
e58	e58	chemical
e59	e59	chemical
e60	e60	chemical
e61	e61	chemical
e62	e62	chemical
e63	e63	chemical
e64	e64	chemical
e65	e65	chemical
e66	e66	chemical
e67	e67	chemical
e68	e68	chemical
e69	e69	chemical
e70	e70	chemical
e71	e71	chemical
e72	e72	chemical
e73	e73	chemical
e74	e74	chemical
e75	e75	chemical
e76	e76	chemical
e77	e77	chemical
e78	e78	chemical
e79	e79	chemical
e80	e80	chemical
e81	e81	chemical
e82	e82	chemical
e83	e83	chemical
e84	e84	chemical
e85	e85	chemical
e86	e86	chemical
e87	e87	chemical
e88	e88	chemical
e89	e89	chemical
e90	e90	chemical
e91	e91	chemical
e92	e92	chemical
e93	e93	chemical
e94	e94	chemical
e95	e95	chemical
e96	e96	chemical
e97	e97	chemical
e98	e98	chemical
e99	e99	chemical
e100	e100	chemical
e101	e101	chemical
e102	e102	chemical
e103	e103	chemical
e104	e104	chemical
e105	e105	chemical
e106	e106	chemical
e107	e107	chemical
e108	e108	chemical
e109	e109	chemical
e110	e110	chemical
e111	e111	chemical
e112	e112	chemical
e113	e113	chemical
e114	e114	chemical
e115	e115	chemical
e116	e116	chemical
e117	e117	chemical
e118	e118	chemical
e119	e119	chemical
e120	e120	chemical
e121	e121	chemical
e122	e122	chemical
e123	e123	chemical
e124	e124	chemical
e125	e125	chemical
e126	e126	chemical
e127	e127	chemical
e128	e128	chemical
e129	e129	chemical
e130	e130	chemical
e131	e131	chemical
e132	e132	chemical
e133	e133	chemical
e134	e134	chemical
e135	e135	chemical
e136	e136	chemical
e137	e137	chemical
e138	e138	chemical
e139	e139	chemical
e140	e140	chemical
e141	e141	chemical
e142	e142	chemical
e143	e143	chemical
