Id;Label;Type
e0;phloretin 4'-O-methyl ether;chemical
e1;phosphoadenosine 5' -phosphosulfate;chemical
e2;(2S)-beta-D-allopyranosyloxy-2-phenylacetonitrile;chemical
e3;(E)-beta-ocimene;chemical
e4;(E)-beta-ocimene;chemical
e5;(E)-beta-ocimene;chemical
e6;1,7-bis[4-hydroxy 3-methoxy phenyl]-1,6-heptadiene-3,5-dione;chemical
e7;1,8-cineole;chemical
e8;2 dihydrochalcones;chemical
e9;2-Dodecyl-6-Methoxycyclohexa-2,5-Diene-1,4-Dione;chemical
e10;2-Propene-1-sulfinothioic acid S-2-propenyl ester;chemical
e11;3-butenyl glucosinolate;chemical
e12;3-butenyl glucosinolate;chemical
e13;3-butenyl glucosinolate;chemical
e14;3-octanone;chemical
e15;4-Hydroxyderricin;chemical
e16;5-HTP;chemical
e17;5-HTP;chemical
e18;5-HTP;chemical
e19;5-hydroxy-2-methyl-1,4-naphthoquinone;chemical
e20;6-OH-BDE-47;chemical
e21;6-pentadecylsalicylic acid;chemical
e22;6-pentadecylsalicylic acid;chemical
e23;Arg-Gly-Asp;chemical
e24;Cinnamomum verum leaf essential oil;chemical
e25;Codeine;chemical
e26;Codeine;chemical
e27;Codeine;chemical
e28;Codeine;chemical
e29;Codeine;chemical
e30;Codeine;chemical
e31;Codeine;chemical
e32;Corosolic acid;chemical
e33;Cycloheterophyllin;chemical
e34;Cys;chemical
e35;DHA;chemical
e36;DHA;chemical
e37;EGCG;chemical
e38;EPA;chemical
e39;EPA;chemical
e40;EPA;chemical
e41;EPA;chemical
e42;GABA;chemical
e43;Geraniin;chemical
e44;Geraniin;chemical
e45;Geraniin;chemical
e46;Geraniin;chemical
e47;Geraniin;chemical
e48;Geraniin;chemical
e49;Geraniin;chemical
e50;Geraniin;chemical
e51;Glu;chemical
e52;Glu;chemical
e53;Glu;chemical
e54;Glu;chemical
e55;Glu;chemical
e56;Glu;chemical
e57;Glu;chemical
e58;Glu;chemical
e59;Glu;chemical
e60;Glu;chemical
e61;Glu;chemical
e62;Glu;chemical
e63;Glu;chemical
e64;Glu;chemical
e65;Glu;chemical
e66;Glu;chemical
e67;Glu;chemical
e68;Gly;chemical
e69;Grandisin;chemical
e70;Grandisin;chemical
e71;Grandisin;chemical
e72;Grandisin;chemical
e73;H2B;chemical
e74;H2B;chemical
e75;IFN-epsilon;chemical
e76;Isofuranodiene;chemical
e77;Isofuranodiene;chemical
e78;Isofuranodiene;chemical
e79;KYNA;chemical
e80;Kaur-16-en-19-oic acid;chemical
e81;Kaur-16-en-19-oic acid;chemical
e82;Kaur-16-en-19-oic acid;chemical
e83;Kaur-16-en-19-oic acid;chemical
e84;L-arabinose;chemical
e85;L-arabinose;chemical
e86;L-dopa;chemical
e87;L-proline;chemical
e88;Lappaol F;chemical
e89;MAR-10;chemical
e90;Malic acid;chemical
e91;Malic acid;chemical
e92;Malic acid;chemical
e93;Muricatalicin;chemical
e94;Myricanol;chemical
e95;Myricanol;chemical
e96;N-caffeoyltyramine;chemical
e97;N-feruloyltyramine;chemical
e98;Nickel;chemical
e99;Oleic acid;chemical
e100;Oleic acid;chemical
e101;Oleic acid;chemical
e102;Pb;chemical
e103;Phlorizin;chemical
e104;Picrocrocins;chemical
e105;Picrocrocins;chemical
e106;Pyrogallol;chemical
e107;S-allylcysteine sulfoxide;chemical
e108;S-allylcysteine sulfoxide;chemical
e109;S-allylcysteine sulfoxide;chemical
e110;S-allylcysteine sulfoxide;chemical
e111;S-allylcysteine sulfoxide;chemical
e112;S-allylcysteine sulfoxide;chemical
e113;S-allylcysteine sulfoxide;chemical
e114;S-allylcysteine;chemical
e115;S-allylcysteine;chemical
e116;S-allylcysteine;chemical
e117;S-allylcysteine;chemical
e118;S-methyl cysteine sulphoxide;chemical
e119;S-methylcysteine;chemical
e120;Shogaols;chemical
e121;Si;chemical
e122;Si;chemical
e123;Sr;chemical
e124;TA-G;chemical
e125;TNT;chemical
e126;Zn;chemical
e127;acetaldehyde;chemical
e128;acevaltrate;chemical
e129;acevaltrate;chemical
e130;acevaltrate;chemical
e131;adenine;chemical
e132;ajoene;chemical
e133;ajoene;chemical
e134;ajoene;chemical
e135;alanine;chemical
e136;alanine;chemical
e137;alanine;chemical
e138;alcohols;chemical
e139;aldehyde;chemical
e140;alkaloids;chemical
e141;alkyl benzene;chemical
e142;allicin;chemical
e143;alpha-carotene;chemical
e144;alpha-carotene;chemical
e145;alpha-carotene;chemical
e146;alpha-chaconine;chemical
e147;alpha-chaconine;chemical
e148;alpha-chaconine;chemical
e149;alpha-chaconine;chemical
e150;alpha-chaconine;chemical
e151;alpha-humulene;chemical
e152;alpha-humulene;chemical
e153;alpha-humulene;chemical
e154;alpha-humulene;chemical
e155;alpha-humulene;chemical
e156;alpha-humulene;chemical
e157;alpha-humulene;chemical
e158;alpha-linolenic acid;chemical
e159;alpha-mangostin;chemical
e160;alpha-mangostin;chemical
e161;alpha-pinene;chemical
e162;alpha-pinene;chemical
e163;alpha-solanine;chemical
e164;alpha-solanine;chemical
e165;alpha-solanine;chemical
e166;alpha-solanine;chemical
e167;alpha-solanine;chemical
e168;alpha-solanine;chemical
e169;alpha-tocopherol;chemical
e170;alpha-tocopherol;chemical
e171;alpha-tocopherol;chemical
e172;alpha-tocopherol;chemical
e173;alpha-tocopherol;chemical
e174;amides;chemical
e175;amines;chemical
e176;amygdalin;chemical
e177;amygdalin;chemical
e178;amygdalin;chemical
e179;amygdalin;chemical
e180;amygdalin;chemical
e181;amygdalin;chemical
e182;amygdalin;chemical
e183;amygdalin;chemical
e184;amygdalin;chemical
e185;amygdalin;chemical
e186;amylose;chemical
e187;anthraquinones;chemical
e188;anthraquinones;chemical
e189;anthraquinones;chemical
e190;aporphines;chemical
e191;arbutin;chemical
e192;arginine;chemical
e193;arginine;chemical
e194;arginine;chemical
e195;arginine;chemical
e196;arsenic;chemical
e197;arsenosugars;chemical
e198;asarone;chemical
e199;asarone;chemical
e200;asarone;chemical
e201;asarone;chemical
e202;asparagusic acid;chemical
e203;bakkenolide B;chemical
e204;benzaldehyde;chemical
e205;benzaldehyde;chemical
e206;benzofuran;chemical
e207;beta-amyrin;chemical
e208;beta-carotene;chemical
e209;beta-carotene;chemical
e210;beta-caryophyllene;chemical
e211;beta-caryophyllene;chemical
e212;beta-cryptoxanthin;chemical
e213;beta-pinene;chemical
e214;beta-pinene;chemical
e215;beta-sitosterol;chemical
e216;beta-sitosterol;chemical
e217;beta-sitosterol;chemical
e218;bilobalide;chemical
e219;bisdemethoxycurcumin;chemical
e220;boron;chemical
e221;boron;chemical
e222;branched chain amino acids;chemical
e223;brassicasterol;chemical
e224;brevetoxin;chemical
e225;bullatacin;chemical
e226;bullatacin;chemical
e227;bullatacin;chemical
e228;bullatacin;chemical
e229;bullatacin;chemical
e230;bullatacin;chemical
e231;bullatacin;chemical
e232;bullatacin;chemical
e233;bullatacin;chemical
e234;bullatacin;chemical
e235;bullatacin;chemical
e236;bullatacin;chemical
e237;cafestol;chemical
e238;caffeic acid;chemical
e239;caffeic acid;chemical
e240;caffeic acid;chemical
e241;caffeine;chemical
e242;caffeoyl tartaric acid;chemical
e243;calcium;chemical
e244;calcium;chemical
e245;campesterol;chemical
e246;campesterol;chemical
e247;campesterol;chemical
e248;camphene;chemical
e249;camphor;chemical
e250;carbamates;chemical
e251;carbon;chemical
e252;carbonyl;chemical
e253;carnosic acid;chemical
e254;carnosine;chemical
e255;carnosine;chemical
e256;carnosine;chemical
e257;carnosol;chemical
e258;carpaine;chemical
e259;carvacrol;chemical
e260;catechol;chemical
e261;cerebrosides;chemical
e262;chicoric acid;chemical
e263;choline;chemical
e264;choline;chemical
e265;choline;chemical
e266;choline;chemical
e267;choline;chemical
e268;choline;chemical
e269;choline;chemical
e270;cichoriin;chemical
e271;cinnamaldehyde;chemical
e272;cinnamaldehyde;chemical
e273;cinnamaldehyde;chemical
e274;cinnamaldehyde;chemical
e275;cinnamic acid amides;chemical
e276;cinnamic acid amides;chemical
e277;cinnamic acid amides;chemical
e278;cinnamic acid amides;chemical
e279;cinnamic acid amides;chemical
e280;cis-/trans-bullatacinone;chemical
e281;cis-/trans-bullatacinone;chemical
e282;cis-/trans-bullatacinone;chemical
e283;cis-/trans-bullatacinone;chemical
e284;cis-/trans-isomurisolenin;chemical
e285;cis-/trans-murisolinone;chemical
e286;cis-/trans-murisolinone;chemical
e287;cis-/trans-murisolinone;chemical
e288;cis-/trans-murisolinone;chemical
e289;cis-1,4-isoprene;chemical
e290;cortisol;chemical
e291;cortisol;chemical
e292;crocin;chemical
e293;cucurbitacins;chemical
e294;cuminaldehyde;chemical
e295;cyanide;chemical
e296;cyanidin-3-rutinoside;chemical
e297;cyanidin-3-rutinoside;chemical
e298;cyanidin-3-rutinoside;chemical
e299;cyanogenic glycosides;chemical
e300;cycloartane triterpenes;chemical
e301;cyclodecane;chemical
e302;cyclopeptides;chemical
e303;delphinidine;chemical
e304;delta-tocopherol;chemical
e305;demethoxycurcumin;chemical
e306;deoxydihydroxanthoangelol H;chemical
e307;di-caffeoylquinic acids;chemical
e308;di-caffeoylquinic acids;chemical
e309;di-caffeoylquinic acids;chemical
e310;di-caffeoylquinic acids;chemical
e311;di-caffeoylquinic acids;chemical
e312;di-caffeoylquinic acids;chemical
e313;di-caffeoylquinic acids;chemical
e314;di-caffeoylquinic acids;chemical
e315;diallyl mono-sulfide;chemical
e316;diallyl tetra-sulfide;chemical
e317;diallyl tri-sulfide;chemical
e318;diallyl-thiosulfinate;chemical
e319;dibenzofurans;chemical
e320;dihydrosterculic acids;chemical
e321;dihydrosterculic acids;chemical
e322;dihydrosterculic acids;chemical
e323;dimethylamine;chemical
e324;dipeptide;chemical
e325;dipropyl disulfide;chemical
e326;dipropyl trisulfide;chemical
e327;diterpene trilactones;chemical
e328;diterpene;chemical
e329;dopamine;chemical
e330;dopamine;chemical
e331;dopamine;chemical
e332;eicosanoic acid;chemical
e333;ellagic acid;chemical
e334;ellagitannin;chemical
e335;ellagitannin;chemical
e336;ellagitannin;chemical
e337;ellagitannin;chemical
e338;emodin;chemical
e339;emodin;chemical
e340;emodin;chemical
e341;epigallocatechin;chemical
e342;epigallocatechin;chemical
e343;epsilon-viniferin;chemical
e344;ergot alkaloids;chemical
e345;eriocitrin;chemical
e346;erythromycin;chemical
e347;erythromycin;chemical
e348;erythromycin;chemical
e349;erythromycin;chemical
e350;erythromycin;chemical
e351;erythromycin;chemical
e352;erythromycin;chemical
e353;erythromycin;chemical
e354;erythromycin;chemical
e355;erythromycin;chemical
e356;estragole;chemical
e357;ethyl benzoate;chemical
e358;ethyl butyrate;chemical
e359;ethylaniline;chemical
e360;falcarindiol;chemical
e361;falcarindiol;chemical
e362;falcarindiol;chemical
e363;falcarindiol;chemical
e364;falcarindiol;chemical
e365;falcarindiol;chemical
e366;falcarindiol;chemical
e367;falcarindiol;chemical
e368;falcarindiol;chemical
e369;falcarindiol;chemical
e370;falcarindiol;chemical
e371;falcarinol;chemical
e372;falcarinol;chemical
e373;falcarinol;chemical
e374;falcarinol;chemical
e375;falcarinol;chemical
e376;falcarinol;chemical
e377;fiber;chemical
e378;flavan-3-ols;chemical
e379;flavanones;chemical
e380;flavonol;chemical
e381;formaldehyde;chemical
e382;fructo-oligosaccharides;chemical
e383;fructose;chemical
e384;fructose;chemical
e385;fucoidan;chemical
e386;fucoxanthin;chemical
e387;fumaric;chemical
e388;fumaric;chemical
e389;fumaric;chemical
e390;fumaric;chemical
e391;fumaric;chemical
e392;fumaric;chemical
e393;fumaric;chemical
e394;fumaric;chemical
e395;furaneol;chemical
e396;furans;chemical
e397;gallic acid;chemical
e398;gamma-oryzanol;chemical
e399;gamma-oryzanol;chemical
e400;gamma-oryzanol;chemical
e401;gamma-oryzanol;chemical
e402;gamma-oryzanol;chemical
e403;gamma-oryzanol;chemical
e404;gibberellins;chemical
e405;gibberellins;chemical
e406;gibberellins;chemical
e407;ginkgolic acid;chemical
e408;ginkgolic acid;chemical
e409;ginkgolide A;chemical
e410;ginkgolide A;chemical
e411;ginkgolide A;chemical
e412;ginkgolide A;chemical
e413;ginkgolide A;chemical
e414;ginkgolide A;chemical
e415;ginkgolide A;chemical
e416;ginkgolide A;chemical
e417;ginkgolide A;chemical
e418;ginkgolide A;chemical
e419;ginkgolide A;chemical
e420;ginkgolide A;chemical
e421;ginkgolide A;chemical
e422;ginkgolide A;chemical
e423;ginkgolide A;chemical
e424;ginkgolide A;chemical
e425;ginkgolide A;chemical
e426;ginkgolide B;chemical
e427;ginkgolide B;chemical
e428;ginkgolide B;chemical
e429;ginkgolide B;chemical
e430;ginkgolide B;chemical
e431;ginkgolide B;chemical
e432;ginkgolide B;chemical
e433;ginkgolide B;chemical
e434;ginkgolide B;chemical
e435;ginkgolide B;chemical
e436;ginkgolide B;chemical
e437;ginkgolide B;chemical
e438;ginkgolide B;chemical
e439;ginkgolide B;chemical
e440;ginkgolide B;chemical
e441;ginkgolide B;chemical
e442;ginkgolide B;chemical
e443;ginkgolide B;chemical
e444;ginkgolide B;chemical
e445;ginkgolide B;chemical
e446;ginkgolide C;chemical
e447;ginkgolide C;chemical
e448;ginkgolide C;chemical
e449;ginkgolide C;chemical
e450;ginkgolide C;chemical
e451;ginkgolide C;chemical
e452;ginkgolide C;chemical
e453;ginkgolide C;chemical
e454;ginkgolide C;chemical
e455;ginkgolide C;chemical
e456;ginkgolide C;chemical
e457;ginkgolide C;chemical
e458;ginkgolide C;chemical
e459;ginkgolide C;chemical
e460;ginkgolide C;chemical
e461;ginkgolide C;chemical
e462;ginkgolide C;chemical
e463;ginkgolide C;chemical
e464;ginkgolide C;chemical
e465;ginkgolides;chemical
e466;ginsenosides;chemical
e467;glucans;chemical
e468;glucoraphanin;chemical
e469;glucoraphanin;chemical
e470;glucoraphanin;chemical
e471;glucoraphanin;chemical
e472;glucoraphanin;chemical
e473;glucoraphanin;chemical
e474;glucose;chemical
e475;glucose;chemical
e476;glucose;chemical
e477;glucose;chemical
e478;glucose;chemical
e479;glucotropaeolin;chemical
e480;glucotropaeolin;chemical
e481;glucotropaeolin;chemical
e482;glucotropaeolin;chemical
e483;glycerol;chemical
e484;guanine;chemical
e485;halogen;chemical
e486;heme;chemical
e487;heme;chemical
e488;heme;chemical
e489;heme;chemical
e490;heme;chemical
e491;heme;chemical
e492;heme;chemical
e493;hemicellulose;chemical
e494;hemocyanins;chemical
e495;hesperidin;chemical
e496;hesperidin;chemical
e497;hesperidin;chemical
e498;histamine;chemical
e499;histamine;chemical
e500;histamine;chemical
e501;histamine;chemical
e502;hydrocarbons;chemical
e503;hydrogen cyanide;chemical
e504;hydroxyproline;chemical
e505;hydroxysafflor;chemical
e506;hydroxysafflor;chemical
e507;hydroxysafflor;chemical
e508;hydroxysafflor;chemical
e509;hydroxysafflor;chemical
e510;hydroxysafflor;chemical
e511;hydroxysafflor;chemical
e512;hydroxysafflor;chemical
e513;hydroxysafflor;chemical
e514;hydroxytyrosol;chemical
e515;indole alkaloids;chemical
e516;indole;chemical
e517;indole;chemical
e518;indole-3-acetonitrile;chemical
e519;inositol;chemical
e520;iodine;chemical
e521;iridoid glycosides;chemical
e522;isoflavone;chemical
e523;isoflavone;chemical
e524;isoflavone;chemical
e525;isopimpinellin;chemical
e526;isoprene;chemical
e527;isorhamnetin;chemical
e528;isorhamnetin;chemical
e529;isothiocyanate;chemical
e530;isovitexin;chemical
e531;juglone;chemical
e532;kahweol;chemical
e533;kampferol;chemical
e534;kampferol;chemical
e535;kampferol;chemical
e536;kampferol;chemical
e537;ketone;chemical
e538;lactic acid;chemical
e539;lactic acid;chemical
e540;lactic acid;chemical
e541;lactic acid;chemical
e542;lactic acid;chemical
e543;lactones, acids;chemical
e544;lactucin;chemical
e545;lactucin;chemical
e546;lariciresinol;chemical
e547;lariciresinol;chemical
e548;lidocaine;chemical
e549;lidocaine;chemical
e550;lidocaine;chemical
e551;lidocaine;chemical
e552;lidocaine;chemical
e553;lignoceric acids;chemical
e554;lignoceric acids;chemical
e555;linalool;chemical
e556;linamarin;chemical
e557;lotaustralin;chemical
e558;lovastatin;chemical
e559;lovastatin;chemical
e560;lovastatin;chemical
e561;lovastatin;chemical
e562;luteolin;chemical
e563;lysine;chemical
e564;lysine;chemical
e565;magnetite;chemical
e566;malvidin 3-glucoside;chemical
e567;mangiferin;chemical
e568;mannose;chemical
e569;mannose;chemical
e570;matairesinol;chemical
e571;menthofuran;chemical
e572;methionine;chemical
e573;methionine;chemical
e574;methionine;chemical
e575;methoxycinnamic acid;chemical
e576;methoxycinnamic acid;chemical
e577;methoxycinnamic acid;chemical
e578;methyl eugenol;chemical
e579;methylenedioxyphenyls;chemical
e580;methylmercury;chemical
e581;momordicine;chemical
e582;momordicine;chemical
e583;momordicosides A;chemical
e584;momordicosides A;chemical
e585;momordicosides A;chemical
e586;momordicosides A;chemical
e587;momordicosides A;chemical
e588;momordicosides A;chemical
e589;monogalactosyldiacylglycerols;chemical
e590;monoglucoside;chemical
e591;monosaccharide;chemical
e592;monounsaturated fatty acids;chemical
e593;morphine;chemical
e594;morphine;chemical
e595;morphine;chemical
e596;morphine;chemical
e597;morphine;chemical
e598;myricetin;chemical
e599;myristicin;chemical
e600;naphthoquinone;chemical
e601;naringenin;chemical
e602;naringenin;chemical
e603;naringenin;chemical
e604;naringin;chemical
e605;naringin;chemical
e606;naringin;chemical
e607;naringin;chemical
e608;neferine;chemical
e609;neferine;chemical
e610;neferine;chemical
e611;neferine;chemical
e612;neferine;chemical
e613;neomangiferin;chemical
e614;niacin;chemical
e615;niacin;chemical
e616;niacin;chemical
e617;niacin;chemical
e618;nicotinamide;chemical
e619;nicotine;chemical
e620;nicotine;chemical
e621;nicotinic acid;chemical
e622;nitrate;chemical
e623;nitrite;chemical
e624;nitrogen;chemical
e625;nobiletin;chemical
e626;octacosanol;chemical
e627;oligosaccharides;chemical
e628;omega-6 fatty acids;chemical
e629;organic acid;chemical
e630;orientin;chemical
