Id	Label	Type
3,7,11,15-Tetramethylhexadec-2-en-1-ol	3,7,11,15-Tetramethylhexadec-2-en-1-ol	chemical
Pistacia vera - exudate	Pistacia vera - exudate	organism_with_part
Catechin gallate	Catechin gallate	chemical
alpha-tomatine	alpha-tomatine	chemical
Sodium cyanotriphenylborate	Sodium cyanotriphenylborate	chemical
Chenopodium quinoa - tissue	Chenopodium quinoa - tissue	organism_with_part
Dimocarpus longan - tissue	Dimocarpus longan - tissue	organism_with_part
methyl 2-[(1R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate	methyl 2-[(1R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate	chemical
lambda-Carrageenan	lambda-Carrageenan	chemical
Vigna radiata	Vigna radiata	organism
Aniline hydrobromide	Aniline hydrobromide	chemical
Helianthus tuberosus - leaf	Helianthus tuberosus - leaf	organism_with_part
Tylosin tartrate	Tylosin tartrate	chemical
Avena sativa - root	Avena sativa - root	organism_with_part
Scomberomorus maculatus	Scomberomorus maculatus	organism
Rubratoxin B	Rubratoxin B	chemical
Gentacycol	Gentacycol	chemical
Citrus maxima - leaf	Citrus maxima - leaf	organism_with_part
Litchi chinensis - leaf	Litchi chinensis - leaf	organism_with_part
Ananas comosus - fruit	Ananas comosus - fruit	organism_with_part
Cyprinus carpio - leaf	Cyprinus carpio - leaf	organism_with_part
Tetralones	Tetralones	chemical
(3Z,3aR,4R,8bR)-4-hydroxy-7,8-dimethyl-3-[[(2R)-4-methyl-5-oxo-2H-furan-2-yl]oxymethylidene]-4,8b-dihydro-3aH-indeno[1,2-b]furan-2-one	(3Z,3aR,4R,8bR)-4-hydroxy-7,8-dimethyl-3-[[(2R)-4-methyl-5-oxo-2H-furan-2-yl]oxymethylidene]-4,8b-dihydro-3aH-indeno[1,2-b]furan-2-one	chemical
Origanum x majoricum	Origanum x majoricum	organism
Poly-L-glutamic acid	Poly-L-glutamic acid	chemical
Hordeum vulgare - grain	Hordeum vulgare - grain	organism_with_part
3-Hydroxypregnan-20-one	3-Hydroxypregnan-20-one	chemical
Piper nigrum - seedling	Piper nigrum - seedling	organism_with_part
Glucuronates	Glucuronates	chemical
3,3',4',5'-tetrahydroxyflavone	3,3',4',5'-tetrahydroxyflavone	chemical
2,3-Dihydrobenzofuran	2,3-Dihydrobenzofuran	chemical
Acetylbenzoyl aconine	Acetylbenzoyl aconine	chemical
Benzyl Compounds	Benzyl Compounds	chemical
L-Sulforaphane	L-Sulforaphane	chemical
Malus domestica - leaf	Malus domestica - leaf	organism_with_part
Cobalamin [vandf]	Cobalamin [vandf]	chemical
Choline	Choline	chemical
Moringa oleifera	Moringa oleifera	organism
Artemisia dracunculus - leaf	Artemisia dracunculus - leaf	organism_with_part
Respiratory Syncytial Virus Vaccines	Respiratory Syncytial Virus Vaccines	chemical
5-[(3aR,6R,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-1,3-benzodioxole	5-[(3aR,6R,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-1,3-benzodioxole	chemical
Chlorophyll B	Chlorophyll B	chemical
Melatonin	Melatonin	chemical
Phaseolus vulgaris - root	Phaseolus vulgaris - root	organism_with_part
Prunus persica - seed	Prunus persica - seed	organism_with_part
Calcium formate	Calcium formate	chemical
Hordeinae	Hordeinae	organism
quercetin 3-O-(6''-feruloyl)galactopyranoside	quercetin 3-O-(6''-feruloyl)galactopyranoside	chemical
Cyproconazole	Cyproconazole	chemical
1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-	1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-	chemical
Ocimum basilicum - seed	Ocimum basilicum - seed	organism_with_part
Asiatic acid	Asiatic acid	chemical
Coffea arabica - skin	Coffea arabica - skin	organism_with_part
Balaena mysticetus	Balaena mysticetus	organism
