foodatlas_id	is_food	group	subgroup
e772	True	Vegetables	Mushrooms
e773	True	Aquatic foods	Fishes
e774	True	Aquatic foods	Crustaceans
e775	True	Vegetables	Shoot vegetables
e776	True	Herbs and Spices	Herbs
e777	True	Coffee and coffee products	Coffee
e778	True	Aquatic foods	Fishes
e779	True	Aquatic foods	Pinnipeds
e780	True	Fruits	Berries
e781	True	Aquatic foods	Crustaceans
e782	True	Aquatic foods	Mollusks
e783	True	Aquatic foods	Fishes
e784	True	Aquatic foods	Cetaceans
e785	True	Animal foods	Bovines
e786	True	Gourds	Gourds
e787	True	Gourds	Gourds
e788	True	Herbs and Spices	Spices
e789	True	Herbs and Spices	Spices
e790	True	Herbs and Spices	Spices
e791	True	Animal foods	Bovines
e792	True	Aquatic foods	Fishes
e793	True	Fruits	Tropical fruits
e794	True	Pulses	Beans
e795	True	Vegetables	Leaf vegetables
e796	True	Aquatic foods	Fishes
e797	True	Fruits	Berries
e798	True	Aquatic foods	Fishes
e799	True	Herbs and Spices	Herbs
e800	True	Fruits	Other fruits
e801	True	Aquatic foods	Fishes
e802	True	Aquatic foods	Fishes
e803	True	Vegetables	Leaf vegetables
e804	True	Vegetables	Fruit vegetables
e805	True	Herbs and Spices	Herbs
e806	True	Fruits	Citrus
e807	True	Fruits	Tropical fruits
e808	True	Aquatic foods	Fishes
e809	True	Cereals and cereal products	Cereals
e810	True	Herbs and Spices	Herbs
e811	True	Fruits	Tropical fruits
e812	True	Fruits	Tropical fruits
e813	True	Vegetables	Tubers
e814	True	Vegetables	Root vegetables
e815	True	Vegetables	Leaf vegetables
e816	True	Aquatic foods	Fishes
e817	True	Vegetables	Leaf vegetables
e818	True	Vegetables	Leaf vegetables
e819	True	Pulses	Beans
e820	True	Fruits	Tropical fruits
e821	True	Fruits	Berries
e822	True	Aquatic foods	Crustaceans
e823	True	Aquatic foods	Fishes
e824	True	Vegetables	Mushrooms
e825	True	Aquatic foods	Fishes
