head	relation	tail	prob_mean	prob_std	head_info	tail_info
e4747	r0	e1651	0.0	0.0	{'foodatlas_id': 'e4747', 'type': 'organism:species', 'name': 'Climbing bean', 'other_db_ids': {'NCBI_taxonomy': ['87088'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e1651', 'type': 'chemical', 'name': '4-hydroxybenzylglucosinolate', 'other_db_ids': {'MESH': ['C097342']}}
e3775	r0	e2164	0.0	0.0	{'foodatlas_id': 'e3775', 'type': 'organism:species', 'name': 'Pacific ocean perch', 'other_db_ids': {'NCBI_taxonomy': ['72055'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e2164', 'type': 'chemical', 'name': 'CPA', 'other_db_ids': {'MESH': ['C028775']}}
e4747	r0	e16480	0.0	0.0	{'foodatlas_id': 'e4747', 'type': 'organism:species', 'name': 'Climbing bean', 'other_db_ids': {'NCBI_taxonomy': ['87088'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e16480', 'type': 'chemical', 'name': 'Tirucallane', 'other_db_ids': {'CAS': ['2151853-72-2'], 'MESH': ['C514393'], 'PubChem': ['12312922']}}
e14694	r0	e19858	0.0	0.0	{'foodatlas_id': 'e14694', 'type': 'organism:species', 'name': 'R. fruticosus', 'other_db_ids': {'NCBI_taxonomy': ['211815'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e19858', 'type': 'chemical', 'name': '6-deoxo-28-norCS', 'other_db_ids': {'MESH': ['C507186']}}
e1418	r0	e3524	0.0	0.0	{'foodatlas_id': 'e1418', 'type': 'organism:species', 'name': 'Chicken', 'other_db_ids': {'NCBI_taxonomy': ['9031'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e3524', 'type': 'chemical', 'name': 'salvianolic acid', 'other_db_ids': {'MESH': ['C568740']}}
e3775	r0	e2157	0.0	0.0	{'foodatlas_id': 'e3775', 'type': 'organism:species', 'name': 'Pacific ocean perch', 'other_db_ids': {'NCBI_taxonomy': ['72055'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e2157', 'type': 'chemical', 'name': 'CGA', 'other_db_ids': {'MESH': ['C554042']}}
e4747	r0	e16440	0.0	0.0	{'foodatlas_id': 'e4747', 'type': 'organism:species', 'name': 'Climbing bean', 'other_db_ids': {'NCBI_taxonomy': ['87088'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e16440', 'type': 'chemical', 'name': 'Zerumbone', 'other_db_ids': {'CAS': ['471-05-6'], 'MESH': ['C403304'], 'PubChem': ['12111849']}}
e1309	r0	e11795	0.0	0.0	{'foodatlas_id': 'e1309', 'type': 'organism:species', 'name': 'Hyacinth bean', 'other_db_ids': {'NCBI_taxonomy': ['35936'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e11795', 'type': 'chemical', 'name': 'rhein 8-O-beta-D-glucopyranoside', 'other_db_ids': {'CAS': ['34298-86-7'], 'MESH': ['C581104'], 'PubChem': ['5320961']}}
e906	r0	e7287	0.0	0.0	{'foodatlas_id': 'e906', 'type': 'organism:species', 'name': 'Garden cress', 'other_db_ids': {'NCBI_taxonomy': ['33125'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e7287', 'type': 'chemical', 'name': 'N-methyl-D-aspartate', 'other_db_ids': {'CAS': ['6384-92-5'], 'MESH': ['D016202'], 'PubChem': ['22880']}}
e3775	r0	e2144	0.0	0.0	{'foodatlas_id': 'e3775', 'type': 'organism:species', 'name': 'Pacific ocean perch', 'other_db_ids': {'NCBI_taxonomy': ['72055'], 'foodatlas_part_id': 'p0'}}	{'foodatlas_id': 'e2144', 'type': 'chemical', 'name': 'BDMC', 'other_db_ids': {'MESH': ['C580697']}}
