foodatlas_id	type	name	synonyms	other_db_ids
0	chemical	raphanusanin	['raphanusanins']	{'MESH': 'C414546'}
1	chemical	Indole Alkaloids	[]	{'MESH': 'D026121'}
2	chemical	3,4-di-O-caffeoylquinic acid	['di-caffeoylquinic acids']	{'MESH': 'C478100'}
3	chemical	2-ethylaniline	['ethylaniline']	{'MESH': 'C000595672'}
4	chemical	Triiodothyronine	[]	{'MESH': 'D014284'}
5	chemical	3-octanone	[]	{'MESH': 'C017582'}
6	chemical	Dopamine	[]	{'MESH': 'D004298'}
7	chemical	Anthraquinones	[]	{'MESH': 'D000880'}
8	chemical	terpinolene	[]	{'MESH': 'C027009'}
9	chemical	matairesinol	[]	{'MESH': 'C068935'}
10	chemical	Pyrogallol	[]	{'MESH': 'D011748'}
11	chemical	isovitexin	[]	{'MESH': 'C049772'}
12	chemical	Phloretin	"[""phloretin 4'-O-methyl ether""]"	{'MESH': 'D010693'}
13	chemical	Hydrogen	['H2B']	{'MESH': 'D006859'}
14	chemical	1,2,4-tri-O-galloyl-3,6-hexahydroxydiphenoylglucose	['punicafolin']	{'MESH': 'C501662'}
15	chemical	cuminaldehyde	[]	{'MESH': 'C007165'}
16	chemical	Hemocyanins	[]	{'MESH': 'D006433'}
17	chemical	sinalbin	[]	{'MESH': 'C003313'}
18	chemical	Mannose	[]	{'MESH': 'D008358'}
19	chemical	1,2-dithiolane-4-carboxylic acid	['asparagusic acid']	{'MESH': 'C010035'}
20	chemical	Glucans	[]	{'MESH': 'D005936'}
21	chemical	diallyl tetrasulfide	['diallyl tetra-sulfide']	{'MESH': 'C431585'}
22	chemical	brevetoxin	[]	{'MESH': 'C053342'}
23	chemical	Sulfuric Acid Esters	['organic acids', 'organic acid']	{'MESH': 'D013463'}
24	chemical	Monosaccharides	['monosaccharide']	{'MESH': 'D009005'}
25	chemical	Sialic Acids	['sialic acid']	{'MESH': 'D012794'}
26	chemical	Oligosaccharides	[]	{'MESH': 'D009844'}
27	chemical	piperitone	[]	{'MESH': 'C496656'}
28	chemical	Hydrocarbons	[]	{'MESH': 'D006838'}
29	chemical	lignoceric acid	['lignoceric acids']	{'MESH': 'C010210'}
30	chemical	alliin	['S-allylcysteine sulfoxide']	{'MESH': 'C006453'}
31	chemical	Aporphines	[]	{'MESH': 'D001060'}
32	chemical	Eicosanoic Acids	['eicosanoic acid']	{'MESH': 'D004537'}
33	chemical	quercetin-3-O-rutinoside	[]	{'MESH': 'C404204'}
34	chemical	2-coumaroylquinic acid	['p-coumaroylquinic']	{'MESH': 'C007140'}
35	chemical	kahweol	[]	{'MESH': 'C053401'}
36	chemical	ginkgolide A	['ginkgolides']	{'MESH': 'C477042'}
37	chemical	pterostilbene	"[""3',5'-dimethoxy-4E-stilbenol""]"	{'MESH': 'C107773'}
38	chemical	Bilobalides	['bilobalide']	{'MESH': 'D046935'}
39	chemical	Fatty Acids, Omega-6	['omega-6 fatty acids']	{'MESH': 'D043371'}
40	chemical	methyleugenol	['methyl eugenol']	{'MESH': 'C005223'}
41	chemical	Morphine	[]	{'MESH': 'D009020'}
42	chemical	Guanine	[]	{'MESH': 'D006147'}
43	chemical	Peptides, Cyclic	['cyclopeptides']	{'MESH': 'D010456'}
44	chemical	ethyl butyrate	[]	{'MESH': 'C045572'}
45	chemical	Benzaldehydes	['benzaldehyde']	{'MESH': 'D001547'}
46	chemical	3-butenyl glucosinolate	[]	{'MESH': 'C552436'}
47	chemical	cinnamic acid	['cinnamic acid amides']	{'MESH': 'C029010'}
48	chemical	di-n-propyl trisulfide	['dipropyl trisulfide']	{'MESH': 'C513796'}
49	chemical	catechol	[]	{'MESH': 'C034221'}
50	chemical	lappaol F	['Lappaol F']	{'MESH': 'C000591899'}
51	chemical	camphene	[]	{'MESH': 'C019286'}
52	chemical	Arbutin	[]	{'MESH': 'D001104'}
53	chemical	muricatalicin	['Muricatalicin']	{'MESH': 'C442161'}
54	chemical	Benzoates	['ethyl benzoate']	{'MESH': 'D001565'}
55	chemical	Phosphoadenosine Phosphosulfate	"[""phosphoadenosine 5' -phosphosulfate""]"	{'MESH': 'D010724'}
56	chemical	benzofuran	[]	{'MESH': 'C105430'}
57	chemical	Amino Acids, Branched-Chain	['branched chain amino acids']	{'MESH': 'D000597'}
58	chemical	plantamajoside	[]	{'MESH': 'C421173'}
59	chemical	Amines	[]	{'MESH': 'D000588'}
60	chemical	cichoriin	[]	{'MESH': 'C410941'}
61	chemical	Sugar Alcohols	['sugar alcohol']	{'MESH': 'D013402'}
62	chemical	Gibberellins	[]	{'MESH': 'D005875'}
63	chemical	Rhamnose	[]	{'MESH': 'D012210'}
64	chemical	neomangiferin	[]	{'MESH': 'C442164'}
65	chemical	salcolin A	['salcolins']	{'MESH': 'C000590571'}
66	chemical	fructooligosaccharide	['fructo-oligosaccharides']	{'MESH': 'C116580'}
67	chemical	ginkgolic acid	[]	{'MESH': 'C112485'}
68	chemical	4-hydroxyderricin	['4-Hydroxyderricin']	{'MESH': 'C068243'}
69	chemical	Carnosine	[]	{'MESH': 'D002336'}
70	chemical	theaflavin	['theaflavins']	{'MESH': 'C056068'}
71	chemical	sitoindoside II	[]	{'MESH': 'C093657'}
72	chemical	Arginine Vasopressin	['arginine']	{'MESH': 'D001127'}
73	chemical	isoleucyl-prolyl-proline	['proline']	{'MESH': 'C489032'}
74	chemical	brassicasterol	[]	{'MESH': 'C003532'}
75	chemical	Estrogens, Non-Steroidal	['steroidal glycoalkaloids']	{'MESH': 'D004968'}
76	chemical	glucoraphanin	[]	{'MESH': 'C119494'}
77	chemical	naringenin	[]	{'MESH': 'C005273'}
78	chemical	gamma-oryzanol	['oryzanol']	{'MESH': 'C013172'}
79	chemical	N-caffeoyltyramine	[]	{'MESH': 'C481438'}
80	chemical	Thionins	[]	{'MESH': 'D054809'}
81	chemical	malic acid	['Malic acid']	{'MESH': 'C030298'}
82	chemical	crocetin	[]	{'MESH': 'C010561'}
83	chemical	carpaine	[]	{'MESH': 'C018479'}
84	chemical	momordicine I	['momordicine']	{'MESH': 'C506900'}
85	chemical	bisdemethoxycurcumin	[]	{'MESH': 'C034786'}
86	chemical	thiocyanate	[]	{'MESH': 'C031760'}
87	chemical	Levodopa	['L-dopa']	{'MESH': 'D007980'}
88	chemical	demethoxycurcumin	[]	{'MESH': 'C050229'}
89	chemical	Codeine	[]	{'MESH': 'D003061'}
90	chemical	Cerebrosides	[]	{'MESH': 'D002554'}
91	chemical	Formaldehyde	[]	{'MESH': 'D005557'}
92	chemical	grandisin	['Grandisin']	{'MESH': 'C074346'}
93	chemical	citrate	[]	{'MESH': 'C102006'}
94	chemical	isofuranodiene	['Isofuranodiene']	{'MESH': 'C017897'}
95	chemical	Ketones	['ketone']	{'MESH': 'D007659'}
96	chemical	procyanidin	['procyanidins']	{'MESH': 'C017674'}
97	chemical	Xylose	[]	{'MESH': 'D014994'}
98	chemical	cinnamon oil, leaf	['Cinnamomum verum leaf essential oil']	{'MESH': 'C510049'}
99	chemical	deoxydihydroxanthoangelol H	[]	{'MESH': 'C508537'}
100	chemical	Glycerol	[]	{'MESH': 'D005990'}
101	chemical	Ergocalciferols	['vitamin D2']	{'MESH': 'D004872'}
102	chemical	methylmercury II	['methylmercury']	{'MESH': 'C030957'}
103	chemical	S-allylcysteine	['S-allyl-cysteine']	{'MESH': 'C065299'}
104	chemical	Proline	['L-proline']	{'MESH': 'D011392'}
105	chemical	tartaric acid	['tartaric acids']	{'MESH': 'C029768'}
106	chemical	4-cymene	['p-cymene']	{'MESH': 'C007210'}
107	chemical	Taurine	[]	{'MESH': 'D013654'}
108	chemical	lariciresinol	[]	{'MESH': 'C060282'}
109	chemical	bakkenolide B	[]	{'MESH': 'C551157'}
110	chemical	dibenzofuran	['dibenzofurans']	{'MESH': 'C023614'}
111	chemical	ginkgolide B	[]	{'MESH': 'C045856'}
112	chemical	Ginkgolides	[]	{'MESH': 'D046934'}
113	chemical	Sulfapyridine	[]	{'MESH': 'D013427'}
114	chemical	S-methylcysteine	[]	{'MESH': 'C008425'}
115	chemical	Isoflavones	['isoflavone']	{'MESH': 'D007529'}
116	chemical	glucotropeolin	['glucotropaeolin']	{'MESH': 'C060321'}
117	chemical	Ginsenosides	[]	{'MESH': 'D036145'}
118	chemical	acevaltrate	[]	{'MESH': 'C090810'}
119	chemical	cyanidin 3-rutinoside	['cyanidin-3-rutinoside']	{'MESH': 'C428983'}
120	chemical	Dietary Fiber	['fiber']	{'MESH': 'D004043'}
121	chemical	alpha-chaconine	[]	{'MESH': 'C011860'}
122	chemical	Polyamines	[]	{'MESH': 'D011073'}
123	chemical	Quinic Acid	[]	{'MESH': 'D011801'}
124	chemical	vernolic acid	['vernolic acids']	{'MESH': 'C081136'}
125	chemical	Furans	[]	{'MESH': 'D005663'}
126	chemical	lactucin	[]	{'MESH': 'C516715'}
127	chemical	Alanine	[]	{'MESH': 'D000409'}
128	chemical	Acetaldehyde	[]	{'MESH': 'D000079'}
129	chemical	Bis-Q	['picrasidine Q']	{'MESH': 'C000295'}
130	chemical	decaglycine	['Gly']	{'MESH': 'C070361'}
131	chemical	Erythromycin	[]	{'MESH': 'D004917'}
132	chemical	xanthoangelol	[]	{'MESH': 'C068244'}
133	chemical	gallocatechol	['gallocatechin', 'epigallocatechin']	{'MESH': 'C057580'}
134	chemical	S-propyl cysteine sulfoxide	['S-methyl cysteine sulphoxide']	{'MESH': 'C495663'}
135	chemical	dihydrosterculic acid	['dihydrosterculic acids']	{'MESH': 'C029355'}
136	chemical	cysteinylcysteine	['Cys']	{'MESH': 'C046557'}
137	chemical	menthofuran	[]	{'MESH': 'C054487'}
138	chemical	Vitamin K 1	['phylloquinone']	{'MESH': 'D010837'}
139	chemical	ginkgolide C	[]	{'MESH': 'C058295'}
140	chemical	cholecystokinin C-terminal flanking peptide	['serine']	{'MESH': 'C047902'}
141	chemical	Emodin	[]	{'MESH': 'D004642'}
142	chemical	MAR 10	['MAR-10']	{'MESH': 'C093381'}
143	chemical	Diterpenes	['diterpene']	{'MESH': 'D004224'}
144	chemical	arginyl-glycyl-aspartic acid	['Arg-Gly-Asp']	{'MESH': 'C047981'}
145	chemical	Polyacetylene Polymer	['polyacetylenes']	{'MESH': 'D000078789'}
146	chemical	BRL 1364	['methylenedioxyphenyls']	{'MESH': 'C018178'}
147	chemical	plumbagin	['5-hydroxy-2-methyl-1,4-naphthoquinone']	{'MESH': 'C014758'}
148	chemical	Cucurbitacins	[]	{'MESH': 'D054728'}
149	chemical	cycloheterophyllin	['Cycloheterophyllin']	{'MESH': 'C107099'}
150	chemical	Arabinose	['L-arabinose']	{'MESH': 'D001089'}
151	chemical	Umbelliferones	['umbelliferone']	{'MESH': 'D014468'}
152	chemical	Progesterone	[]	{'MESH': 'D011374'}
153	chemical	indole-3-acetonitrile	[]	{'MESH': 'C016516'}
154	chemical	A73025	['sulfated glycosaminoglycan']	{'MESH': 'C013786'}
155	chemical	crocin	[]	{'MESH': 'C029036'}
156	chemical	Dimethylamines	['dimethylamine']	{'MESH': 'D004123'}
157	chemical	falcarinol	[]	{'MESH': 'C018541'}
158	chemical	campesterol	[]	{'MESH': 'C021273'}
159	chemical	Glutamic Acid	['Glu']	{'MESH': 'D018698'}
160	chemical	picrocrocin	['Picrocrocins']	{'MESH': 'C087962'}
161	chemical	diallyl trisulfide	['diallyl tri-sulfide']	{'MESH': 'C042577'}
162	chemical	Eucalyptol	['1,8-cineole']	{'MESH': 'D000077591'}
163	chemical	Lovastatin	[]	{'MESH': 'D008148'}
164	chemical	gamma-sitosterol	['beta-sitosterol']	{'MESH': 'C025473'}
165	chemical	Lidocaine	[]	{'MESH': 'D008012'}
166	chemical	dihydrochalcone	['2 dihydrochalcones']	{'MESH': 'C015812'}
167	chemical	rosmanol	[]	{'MESH': 'C465581'}
168	chemical	sesamin	[]	{'MESH': 'C054125'}
169	chemical	Rotenone	[]	{'MESH': 'D012402'}
170	chemical	malvidin-3-glucoside	['malvidin 3-glucoside']	{'MESH': 'C458419'}
171	chemical	Adenine	[]	{'MESH': 'D000225'}
172	chemical	stearic acid	[]	{'MESH': 'C031183'}
173	chemical	epsilon-viniferin	[]	{'MESH': 'C091891'}
174	chemical	3,4-dihydroxyphenylethanol	['hydroxytyrosol']	{'MESH': 'C005975'}
175	chemical	Stigmasterol	[]	{'MESH': 'D013265'}
176	chemical	carbonyl fluoride	['carbonyl']	{'MESH': 'C548957'}
177	chemical	bradykinin, hydroxy-Pro(3)-	['hydroxyproline']	{'MESH': 'C021698'}
178	chemical	Phytol	[]	{'MESH': 'D010836'}
179	chemical	hydroxysafflor yellow A	['hydroxysafflor']	{'MESH': 'C085278'}
180	chemical	solasodine	['solasodine glycosides']	{'MESH': 'C012037'}
181	chemical	Carbamates	[]	{'MESH': 'D002219'}
182	chemical	nasunin	['delphinidine']	{'MESH': 'C118727'}
183	chemical	fucoidan	[]	{'MESH': 'C007789'}
184	chemical	Trinitrotoluene	['TNT']	{'MESH': 'D014303'}
185	chemical	isoprene	[]	{'MESH': 'C005059'}
186	chemical	Thyroxine	[]	{'MESH': 'D013974'}
187	chemical	Caffeine	[]	{'MESH': 'D002110'}
188	chemical	Phlorhizin	['Phlorizin']	{'MESH': 'D010695'}
189	chemical	Water	[]	{'MESH': 'D014867'}
190	chemical	2-dodecyl-6-methoxycyclohexa-2,5-diene-1,4-dione	['2-Dodecyl-6-Methoxycyclohexa-2,5-Diene-1,4-Dione']	{'MESH': 'C581182'}
191	chemical	neferine	[]	{'MESH': 'C057222'}
192	chemical	Amides	[]	{'MESH': 'D000577'}
193	chemical	Alcohols	[]	{'MESH': 'D000438'}
194	chemical	IFNE protein, human	['IFN-epsilon']	{'MESH': 'C524005'}
195	chemical	rhamnogalacturonan I	['rhamnogalacturonan-I']	{'MESH': 'C042491'}
196	chemical	hemicellulose	[]	{'MESH': 'C007916'}
197	chemical	Urea	[]	{'MESH': 'D014508'}
198	chemical	Palmitic Acid	[]	{'MESH': 'D019308'}
199	chemical	Lactic Acid	[]	{'MESH': 'D019344'}
200	chemical	delta-tocopherol	[]	{'MESH': 'C479072'}
201	chemical	phoenixoside A	[]	{'MESH': 'C571768'}
202	chemical	camelliaside B	['kampferol']	{'MESH': 'C070688'}
203	chemical	gamma-mangostin	[]	{'MESH': 'C102777'}
204	chemical	Xanthophylls	[]	{'MESH': 'D024341'}
205	chemical	pinocamphone	[]	{'MESH': 'C021317'}
206	chemical	momordicoside A	['momordicosides A']	{'MESH': 'C478919'}
207	chemical	6-OH-BDE-47	[]	{'MESH': 'C580599'}
208	chemical	cardanol	['phenol cardanol']	{'MESH': 'C038590'}
209	chemical	ellagitannin	[]	{'MESH': 'C013515'}
210	chemical	feruloyltyramine	['N-feruloyltyramine']	{'MESH': 'C074004'}
211	chemical	Ergot Alkaloids	[]	{'MESH': 'D004876'}
212	chemical	arsenosugar	['arsenosugars']	{'MESH': 'C449161'}
213	chemical	Lactones	['lactones, acids']	{'MESH': 'D007783'}
214	chemical	Amylose	[]	{'MESH': 'D000688'}
215	chemical	cafestol	[]	{'MESH': 'C053400'}
216	chemical	taraxinic acid glucopyranosyl ester	['TA-G']	{'MESH': 'C000608106'}
217	chemical	Aldehydes	['aldehyde']	{'MESH': 'D000447'}
218	chemical	luteolin-7-O-glucoside	[]	{'MESH': 'C529813'}
219	chemical	nobiletin	[]	{'MESH': 'C008661'}
220	chemical	Ferrosoferric Oxide	['magnetite']	{'MESH': 'D052203'}
221	chemical	monogalactosyldiacylglycerol	['monogalactosyldiacylglycerols']	{'MESH': 'C009909'}
222	chemical	falcarindiol	[]	{'MESH': 'C034379'}
223	chemical	benzyl cyanide	['(2S)-beta-D-allopyranosyloxy-2-phenylacetonitrile']	{'MESH': 'C006725'}
224	chemical	allyl sulfide	['diallyl mono-sulfide']	{'MESH': 'C038491'}
225	chemical	n-propyl disulfide	['dipropyl disulfide']	{'MESH': 'C041288'}
226	chemical	Benzene	['alkyl benzene']	{'MESH': 'D001554'}
227	chemical	indole	[]	{'MESH': 'C030374'}
228	chemical	trilactone	['diterpene trilactones']	{'MESH': 'C518782'}
229	chemical	myristicin	[]	{'MESH': 'C005246'}
230	chemical	Selenious Acid	['selenite']	{'MESH': 'D020887'}
231	chemical	Polyphenols	['Polyphenol']	{'MESH': 'D059808'}
232	chemical	Nitrates	['Nitrate']	{'MESH': 'D009566'}
233	chemical	allyl isothiocyanate	[]	{'MESH': 'C004471'}
234	chemical	Iron	['Fe']	{'MESH': 'D007501'}
235	chemical	Copper	['Cu']	{'MESH': 'D003300'}
236	chemical	Chlorogenic Acid	['chlorogenic acids']	{'MESH': 'D002726'}
237	chemical	Lignans	['lignan']	{'MESH': 'D017705'}
238	chemical	Catechin	[]	{'MESH': 'D002392'}
239	chemical	cyanogenic glycosides	['cyanogenic glycoside']	{'MESH': 'C007173'}
240	chemical	gamma-Aminobutyric Acid	['GABA']	{'MESH': 'D005680'}
241	chemical	Stilbenes	['stilbene']	{'MESH': 'D013267'}
242	chemical	Anthocyanins	['Anthocyanin']	{'MESH': 'D000872'}
243	chemical	Mercury	['methyl mercury', 'Hg']	{'MESH': 'D008628'}
244	chemical	Oleanolic Acid	['oleanolic']	{'MESH': 'D009828'}
245	chemical	Heme	[]	{'MESH': 'D006418'}
246	chemical	vitamin A, vitamin E, vitamin K3 drug combination	['vitamins', 'Vitamin A']	{'MESH': 'C059630'}
247	chemical	Camphor	[]	{'MESH': 'D002164'}
248	chemical	Oleic Acid	['Oleic acid']	{'MESH': 'D019301'}
249	chemical	Acetogenins	['acetogenin', 'gamma-lactone acetogenin']	{'MESH': 'D054378'}
250	chemical	Oils	['oil']	{'MESH': 'D009821'}
251	chemical	indole-3-carbinol	[]	{'MESH': 'C016517'}
252	chemical	bullatacinone	['cis-/trans-bullatacinone']	{'MESH': 'C061021'}
253	chemical	trigonelline	[]	{'MESH': 'C009560'}
254	chemical	Phytic Acid	['phytate']	{'MESH': 'D010833'}
255	chemical	linamarin	[]	{'MESH': 'C005091'}
256	chemical	Lycopene	[]	{'MESH': 'C015329'}
257	chemical	Carbohydrates	['carbohydrate', 'sugars']	{'MESH': 'D002241'}
258	chemical	Fatty Acids, Monounsaturated	['monounsaturated fatty acids']	{'MESH': 'D005229'}
259	chemical	argyrophilic acid	['Kaur-16-en-19-oic acid']	{'MESH': 'C014341'}
260	chemical	Folic Acid	['folate']	{'MESH': 'D005492'}
261	chemical	Fatty Acids	['saturated fatty acids']	{'MESH': 'D005227'}
262	chemical	benzaldehyde	[]	{'MESH': 'C032175'}
263	chemical	cyanidin	[]	{'MESH': 'C017154'}
264	chemical	furaneol	[]	{'MESH': 'C058427'}
265	chemical	myricanol	['Myricanol']	{'MESH': 'C041794'}
